ID_Transaccion,Fecha,Dia_Semana,Producto,Categoria,Canal_Venta,Cantidad,Precio_Unitario,Ventas_Soles,Costo_Soles,Utilidad_Soles
TX-1029,2026-08-02,Sunday,Pollo Entero kg,Carnes/Frescos,Tienda Física,1,9.8,9.8,6.9,2.9
TX-1030,2026-08-02,Sunday,Pollo Entero kg,Carnes/Frescos,Tienda Física,3,9.8,29.4,20.7,8.7
TX-1031,2026-08-02,Sunday,Pollo Entero kg,Carnes/Frescos,Yape / Plin,3,9.8,29.4,20.7,8.7
TX-1032,2026-08-02,Sunday,Leche Gloria 400g,Lácteos,Delivery / App,5,4.2,21.0,15.5,5.5
TX-1033,2026-08-02,Sunday,Aceite Primor 1L,Abarrotes,Delivery / App,1,11.5,11.5,8.5,3.0
TX-1034,2026-08-02,Sunday,Arroz Costeño 5kg,Abarrotes,Tienda Física,4,24.5,98.0,72.0,26.0
TX-1035,2026-08-02,Sunday,Pollo Entero kg,Carnes/Frescos,WhatsApp,5,9.8,49.0,34.5,14.5
TX-1036,2026-08-02,Sunday,Pollo Entero kg,Carnes/Frescos,WhatsApp,3,9.8,29.4,20.7,8.7
TX-1037,2026-08-02,Sunday,Leche Gloria 400g,Lácteos,Delivery / App,5,4.2,21.0,15.5,5.5
TX-1038,2026-08-02,Sunday,Leche Gloria 400g,Lácteos,WhatsApp,1,4.2,4.2,3.1,1.1
TX-1039,2026-08-02,Sunday,Galletas Soda Field,Snacks,Tienda Física,3,2.5,7.5,4.2,3.3
TX-1040,2026-08-02,Sunday,Galletas Soda Field,Snacks,Tienda Física,2,2.5,5.0,2.8,2.2
TX-1041,2026-08-02,Sunday,Cerveza Cusqueña 6pack,Bebidas,Tienda Física,3,34.0,102.0,72.0,30.0
TX-1042,2026-08-02,Sunday,Galletas Soda Field,Snacks,Tienda Física,1,2.5,2.5,1.4,1.1
TX-1043,2026-08-02,Sunday,Pollo Entero kg,Carnes/Frescos,Delivery / App,4,9.8,39.2,27.6,11.6
TX-1044,2026-08-02,Sunday,Galletas Soda Field,Snacks,Tienda Física,5,2.5,12.5,7.0,5.5
TX-1045,2026-08-02,Sunday,Cerveza Cusqueña 6pack,Bebidas,Delivery / App,4,34.0,136.0,96.0,40.0
TX-1046,2026-08-02,Sunday,Galletas Soda Field,Snacks,WhatsApp,3,2.5,7.5,4.2,3.3
TX-1047,2026-08-02,Sunday,Inca Kola 1.5L,Bebidas,WhatsApp,2,7.5,15.0,9.6,5.4
TX-1048,2026-08-02,Sunday,Detergente Opal 1kg,Limpieza,Tienda Física,1,12.0,12.0,8.2,3.8
TX-1049,2026-08-02,Sunday,Inca Kola 1.5L,Bebidas,Tienda Física,4,7.5,30.0,19.2,10.8
TX-1050,2026-08-02,Sunday,Inca Kola 1.5L,Bebidas,Tienda Física,3,7.5,22.5,14.4,8.1
TX-1051,2026-08-02,Sunday,Galletas Soda Field,Snacks,Tienda Física,4,2.5,10.0,5.6,4.4
TX-1052,2026-08-02,Sunday,Detergente Opal 1kg,Limpieza,Tienda Física,1,12.0,12.0,8.2,3.8
TX-1053,2026-08-02,Sunday,Leche Gloria 400g,Lácteos,Yape / Plin,1,4.2,4.2,3.1,1.1
TX-1054,2026-08-02,Sunday,Arroz Costeño 5kg,Abarrotes,Tienda Física,3,24.5,73.5,54.0,19.5
TX-1055,2026-08-02,Sunday,Pollo Entero kg,Carnes/Frescos,Tienda Física,3,9.8,29.4,20.7,8.7
TX-1056,2026-08-02,Sunday,Cerveza Cusqueña 6pack,Bebidas,Tienda Física,1,34.0,34.0,24.0,10.0
TX-1057,2026-08-02,Sunday,Inca Kola 1.5L,Bebidas,Tienda Física,3,7.5,22.5,14.4,8.1
TX-1058,2026-08-02,Sunday,Pollo Entero kg,Carnes/Frescos,Tienda Física,1,9.8,9.8,6.9,2.9
TX-1059,2026-08-03,Monday,Aceite Primor 1L,Abarrotes,Tienda Física,4,11.5,46.0,34.0,12.0
TX-1060,2026-08-03,Monday,Galletas Soda Field,Snacks,WhatsApp,2,2.5,5.0,2.8,2.2
TX-1061,2026-08-03,Monday,Cerveza Cusqueña 6pack,Bebidas,Delivery / App,1,34.0,34.0,24.0,10.0
TX-1062,2026-08-03,Monday,Leche Gloria 400g,Lácteos,Delivery / App,1,4.2,4.2,3.1,1.1
TX-1063,2026-08-03,Monday,Inca Kola 1.5L,Bebidas,Tienda Física,5,7.5,37.5,24.0,13.5
TX-1064,2026-08-03,Monday,Arroz Costeño 5kg,Abarrotes,WhatsApp,3,24.5,73.5,54.0,19.5
TX-1065,2026-08-03,Monday,Cerveza Cusqueña 6pack,Bebidas,Tienda Física,4,34.0,136.0,96.0,40.0
TX-1066,2026-08-03,Monday,Detergente Opal 1kg,Limpieza,Tienda Física,4,12.0,48.0,32.8,15.2
TX-1067,2026-08-03,Monday,Pollo Entero kg,Carnes/Frescos,Tienda Física,3,9.8,29.4,20.7,8.7
TX-1068,2026-08-03,Monday,Detergente Opal 1kg,Limpieza,WhatsApp,5,12.0,60.0,41.0,19.0
TX-1069,2026-08-03,Monday,Detergente Opal 1kg,Limpieza,Yape / Plin,3,12.0,36.0,24.6,11.4
TX-1070,2026-08-03,Monday,Pollo Entero kg,Carnes/Frescos,Tienda Física,1,9.8,9.8,6.9,2.9
TX-1071,2026-08-04,Tuesday,Detergente Opal 1kg,Limpieza,Yape / Plin,5,12.0,60.0,41.0,19.0
TX-1072,2026-08-04,Tuesday,Inca Kola 1.5L,Bebidas,Tienda Física,3,7.5,22.5,14.4,8.1
TX-1073,2026-08-04,Tuesday,Aceite Primor 1L,Abarrotes,Yape / Plin,3,11.5,34.5,25.5,9.0
TX-1074,2026-08-04,Tuesday,Inca Kola 1.5L,Bebidas,Delivery / App,4,7.5,30.0,19.2,10.8
TX-1075,2026-08-04,Tuesday,Pollo Entero kg,Carnes/Frescos,Yape / Plin,2,9.8,19.6,13.8,5.8
TX-1076,2026-08-04,Tuesday,Leche Gloria 400g,Lácteos,WhatsApp,4,4.2,16.8,12.4,4.4
TX-1077,2026-08-04,Tuesday,Aceite Primor 1L,Abarrotes,Tienda Física,2,11.5,23.0,17.0,6.0
TX-1078,2026-08-04,Tuesday,Inca Kola 1.5L,Bebidas,Delivery / App,2,7.5,15.0,9.6,5.4
TX-1079,2026-08-04,Tuesday,Inca Kola 1.5L,Bebidas,Tienda Física,4,7.5,30.0,19.2,10.8
TX-1080,2026-08-04,Tuesday,Arroz Costeño 5kg,Abarrotes,WhatsApp,4,24.5,98.0,72.0,26.0
TX-1081,2026-08-04,Tuesday,Pollo Entero kg,Carnes/Frescos,Tienda Física,3,9.8,29.4,20.7,8.7
TX-1082,2026-08-04,Tuesday,Arroz Costeño 5kg,Abarrotes,WhatsApp,3,24.5,73.5,54.0,19.5
TX-1083,2026-08-04,Tuesday,Pollo Entero kg,Carnes/Frescos,Yape / Plin,3,9.8,29.4,20.7,8.7
TX-1084,2026-08-04,Tuesday,Detergente Opal 1kg,Limpieza,WhatsApp,1,12.0,12.0,8.2,3.8
TX-1085,2026-08-04,Tuesday,Leche Gloria 400g,Lácteos,Tienda Física,1,4.2,4.2,3.1,1.1
TX-1086,2026-08-04,Tuesday,Detergente Opal 1kg,Limpieza,WhatsApp,4,12.0,48.0,32.8,15.2
TX-1087,2026-08-04,Tuesday,Pollo Entero kg,Carnes/Frescos,WhatsApp,1,9.8,9.8,6.9,2.9
TX-1088,2026-08-04,Tuesday,Cerveza Cusqueña 6pack,Bebidas,Tienda Física,2,34.0,68.0,48.0,20.0
TX-1089,2026-08-04,Tuesday,Aceite Primor 1L,Abarrotes,WhatsApp,2,11.5,23.0,17.0,6.0
TX-1090,2026-08-04,Tuesday,Pollo Entero kg,Carnes/Frescos,Tienda Física,5,9.8,49.0,34.5,14.5
TX-1091,2026-08-04,Tuesday,Arroz Costeño 5kg,Abarrotes,Tienda Física,4,24.5,98.0,72.0,26.0
TX-1092,2026-08-04,Tuesday,Cerveza Cusqueña 6pack,Bebidas,Tienda Física,4,34.0,136.0,96.0,40.0
TX-1093,2026-08-05,Wednesday,Galletas Soda Field,Snacks,WhatsApp,3,2.5,7.5,4.2,3.3
TX-1094,2026-08-05,Wednesday,Arroz Costeño 5kg,Abarrotes,Tienda Física,4,24.5,98.0,72.0,26.0
TX-1095,2026-08-05,Wednesday,Detergente Opal 1kg,Limpieza,Tienda Física,5,12.0,60.0,41.0,19.0
TX-1096,2026-08-05,Wednesday,Pollo Entero kg,Carnes/Frescos,Tienda Física,3,9.8,29.4,20.7,8.7
TX-1097,2026-08-05,Wednesday,Cerveza Cusqueña 6pack,Bebidas,WhatsApp,1,34.0,34.0,24.0,10.0
TX-1098,2026-08-05,Wednesday,Pollo Entero kg,Carnes/Frescos,Tienda Física,1,9.8,9.8,6.9,2.9
TX-1099,2026-08-05,Wednesday,Cerveza Cusqueña 6pack,Bebidas,WhatsApp,3,34.0,102.0,72.0,30.0
TX-1100,2026-08-05,Wednesday,Pollo Entero kg,Carnes/Frescos,Tienda Física,1,9.8,9.8,6.9,2.9
TX-1101,2026-08-05,Wednesday,Inca Kola 1.5L,Bebidas,Tienda Física,4,7.5,30.0,19.2,10.8
TX-1102,2026-08-05,Wednesday,Detergente Opal 1kg,Limpieza,Yape / Plin,5,12.0,60.0,41.0,19.0
TX-1103,2026-08-05,Wednesday,Inca Kola 1.5L,Bebidas,Delivery / App,1,7.5,7.5,4.8,2.7
TX-1104,2026-08-05,Wednesday,Cerveza Cusqueña 6pack,Bebidas,WhatsApp,1,34.0,34.0,24.0,10.0
TX-1105,2026-08-05,Wednesday,Galletas Soda Field,Snacks,Delivery / App,3,2.5,7.5,4.2,3.3
TX-1106,2026-08-05,Wednesday,Inca Kola 1.5L,Bebidas,Tienda Física,5,7.5,37.5,24.0,13.5
TX-1107,2026-08-05,Wednesday,Galletas Soda Field,Snacks,Tienda Física,1,2.5,2.5,1.4,1.1
TX-1108,2026-08-05,Wednesday,Pollo Entero kg,Carnes/Frescos,WhatsApp,2,9.8,19.6,13.8,5.8
TX-1109,2026-08-05,Wednesday,Galletas Soda Field,Snacks,Delivery / App,2,2.5,5.0,2.8,2.2
TX-1110,2026-08-05,Wednesday,Detergente Opal 1kg,Limpieza,WhatsApp,2,12.0,24.0,16.4,7.6
TX-1111,2026-08-05,Wednesday,Detergente Opal 1kg,Limpieza,Tienda Física,2,12.0,24.0,16.4,7.6
TX-1112,2026-08-06,Thursday,Aceite Primor 1L,Abarrotes,WhatsApp,2,11.5,23.0,17.0,6.0
TX-1113,2026-08-06,Thursday,Arroz Costeño 5kg,Abarrotes,WhatsApp,1,24.5,24.5,18.0,6.5
TX-1114,2026-08-06,Thursday,Pollo Entero kg,Carnes/Frescos,Tienda Física,5,9.8,49.0,34.5,14.5
TX-1115,2026-08-06,Thursday,Aceite Primor 1L,Abarrotes,Tienda Física,3,11.5,34.5,25.5,9.0
TX-1116,2026-08-06,Thursday,Pollo Entero kg,Carnes/Frescos,Tienda Física,5,9.8,49.0,34.5,14.5
TX-1117,2026-08-06,Thursday,Galletas Soda Field,Snacks,WhatsApp,1,2.5,2.5,1.4,1.1
TX-1118,2026-08-06,Thursday,Inca Kola 1.5L,Bebidas,Tienda Física,1,7.5,7.5,4.8,2.7
TX-1119,2026-08-06,Thursday,Detergente Opal 1kg,Limpieza,Yape / Plin,4,12.0,48.0,32.8,15.2
TX-1120,2026-08-06,Thursday,Galletas Soda Field,Snacks,WhatsApp,4,2.5,10.0,5.6,4.4
TX-1121,2026-08-06,Thursday,Pollo Entero kg,Carnes/Frescos,Tienda Física,3,9.8,29.4,20.7,8.7
TX-1122,2026-08-06,Thursday,Galletas Soda Field,Snacks,Yape / Plin,5,2.5,12.5,7.0,5.5
TX-1123,2026-08-06,Thursday,Aceite Primor 1L,Abarrotes,Tienda Física,1,11.5,11.5,8.5,3.0
TX-1124,2026-08-06,Thursday,Detergente Opal 1kg,Limpieza,Tienda Física,3,12.0,36.0,24.6,11.4
TX-1125,2026-08-06,Thursday,Arroz Costeño 5kg,Abarrotes,Tienda Física,5,24.5,122.5,90.0,32.5
TX-1126,2026-08-06,Thursday,Inca Kola 1.5L,Bebidas,Tienda Física,5,7.5,37.5,24.0,13.5
TX-1127,2026-08-06,Thursday,Detergente Opal 1kg,Limpieza,Tienda Física,5,12.0,60.0,41.0,19.0
TX-1128,2026-08-06,Thursday,Detergente Opal 1kg,Limpieza,WhatsApp,3,12.0,36.0,24.6,11.4
TX-1129,2026-08-06,Thursday,Inca Kola 1.5L,Bebidas,Delivery / App,5,7.5,37.5,24.0,13.5
TX-1130,2026-08-06,Thursday,Aceite Primor 1L,Abarrotes,Yape / Plin,3,11.5,34.5,25.5,9.0
TX-1131,2026-08-06,Thursday,Galletas Soda Field,Snacks,Tienda Física,3,2.5,7.5,4.2,3.3
TX-1132,2026-08-06,Thursday,Galletas Soda Field,Snacks,Tienda Física,2,2.5,5.0,2.8,2.2
TX-1133,2026-08-07,Friday,Inca Kola 1.5L,Bebidas,Tienda Física,5,7.5,37.5,24.0,13.5
TX-1134,2026-08-07,Friday,Aceite Primor 1L,Abarrotes,Tienda Física,1,11.5,11.5,8.5,3.0
TX-1135,2026-08-07,Friday,Pollo Entero kg,Carnes/Frescos,WhatsApp,1,9.8,9.8,6.9,2.9
TX-1136,2026-08-07,Friday,Cerveza Cusqueña 6pack,Bebidas,Delivery / App,1,34.0,34.0,24.0,10.0
TX-1137,2026-08-07,Friday,Galletas Soda Field,Snacks,WhatsApp,5,2.5,12.5,7.0,5.5
TX-1138,2026-08-07,Friday,Galletas Soda Field,Snacks,Tienda Física,3,2.5,7.5,4.2,3.3
TX-1139,2026-08-07,Friday,Pollo Entero kg,Carnes/Frescos,Yape / Plin,3,9.8,29.4,20.7,8.7
TX-1140,2026-08-07,Friday,Arroz Costeño 5kg,Abarrotes,Tienda Física,5,24.5,122.5,90.0,32.5
TX-1141,2026-08-07,Friday,Cerveza Cusqueña 6pack,Bebidas,Tienda Física,1,34.0,34.0,24.0,10.0
TX-1142,2026-08-07,Friday,Detergente Opal 1kg,Limpieza,Tienda Física,4,12.0,48.0,32.8,15.2
TX-1143,2026-08-07,Friday,Pollo Entero kg,Carnes/Frescos,Yape / Plin,2,9.8,19.6,13.8,5.8
TX-1144,2026-08-07,Friday,Cerveza Cusqueña 6pack,Bebidas,Tienda Física,4,34.0,136.0,96.0,40.0
TX-1145,2026-08-07,Friday,Detergente Opal 1kg,Limpieza,Tienda Física,5,12.0,60.0,41.0,19.0
TX-1146,2026-08-07,Friday,Aceite Primor 1L,Abarrotes,Yape / Plin,5,11.5,57.5,42.5,15.0
TX-1147,2026-08-07,Friday,Inca Kola 1.5L,Bebidas,WhatsApp,2,7.5,15.0,9.6,5.4
TX-1148,2026-08-07,Friday,Aceite Primor 1L,Abarrotes,Tienda Física,1,11.5,11.5,8.5,3.0
TX-1149,2026-08-07,Friday,Cerveza Cusqueña 6pack,Bebidas,WhatsApp,4,34.0,136.0,96.0,40.0
TX-1150,2026-08-07,Friday,Pollo Entero kg,Carnes/Frescos,Tienda Física,2,9.8,19.6,13.8,5.8
TX-1151,2026-08-07,Friday,Pollo Entero kg,Carnes/Frescos,Yape / Plin,3,9.8,29.4,20.7,8.7
TX-1152,2026-08-07,Friday,Inca Kola 1.5L,Bebidas,WhatsApp,2,7.5,15.0,9.6,5.4
TX-1153,2026-08-07,Friday,Arroz Costeño 5kg,Abarrotes,Yape / Plin,1,24.5,24.5,18.0,6.5
TX-1154,2026-08-07,Friday,Leche Gloria 400g,Lácteos,WhatsApp,5,4.2,21.0,15.5,5.5
TX-1155,2026-08-07,Friday,Arroz Costeño 5kg,Abarrotes,WhatsApp,1,24.5,24.5,18.0,6.5
TX-1156,2026-08-07,Friday,Leche Gloria 400g,Lácteos,Tienda Física,4,4.2,16.8,12.4,4.4
TX-1157,2026-08-07,Friday,Inca Kola 1.5L,Bebidas,Tienda Física,2,7.5,15.0,9.6,5.4
TX-1158,2026-08-07,Friday,Aceite Primor 1L,Abarrotes,Tienda Física,3,11.5,34.5,25.5,9.0
TX-1159,2026-08-07,Friday,Aceite Primor 1L,Abarrotes,Yape / Plin,5,11.5,57.5,42.5,15.0
TX-1160,2026-08-07,Friday,Aceite Primor 1L,Abarrotes,Tienda Física,2,11.5,23.0,17.0,6.0
TX-1161,2026-08-07,Friday,Galletas Soda Field,Snacks,WhatsApp,4,2.5,10.0,5.6,4.4
TX-1162,2026-08-07,Friday,Aceite Primor 1L,Abarrotes,Delivery / App,5,11.5,57.5,42.5,15.0
TX-1163,2026-08-08,Saturday,Arroz Costeño 5kg,Abarrotes,Delivery / App,5,24.5,122.5,90.0,32.5
TX-1164,2026-08-08,Saturday,Inca Kola 1.5L,Bebidas,Tienda Física,2,7.5,15.0,9.6,5.4
TX-1165,2026-08-08,Saturday,Pollo Entero kg,Carnes/Frescos,Delivery / App,3,9.8,29.4,20.7,8.7
TX-1166,2026-08-08,Saturday,Pollo Entero kg,Carnes/Frescos,Tienda Física,4,9.8,39.2,27.6,11.6
TX-1167,2026-08-08,Saturday,Galletas Soda Field,Snacks,Tienda Física,5,2.5,12.5,7.0,5.5
TX-1168,2026-08-08,Saturday,Galletas Soda Field,Snacks,WhatsApp,5,2.5,12.5,7.0,5.5
TX-1169,2026-08-08,Saturday,Leche Gloria 400g,Lácteos,Tienda Física,1,4.2,4.2,3.1,1.1
TX-1170,2026-08-08,Saturday,Arroz Costeño 5kg,Abarrotes,Yape / Plin,4,24.5,98.0,72.0,26.0
TX-1171,2026-08-08,Saturday,Detergente Opal 1kg,Limpieza,Yape / Plin,5,12.0,60.0,41.0,19.0
TX-1172,2026-08-08,Saturday,Arroz Costeño 5kg,Abarrotes,Tienda Física,4,24.5,98.0,72.0,26.0
TX-1173,2026-08-08,Saturday,Arroz Costeño 5kg,Abarrotes,Tienda Física,3,24.5,73.5,54.0,19.5
TX-1174,2026-08-08,Saturday,Galletas Soda Field,Snacks,Delivery / App,4,2.5,10.0,5.6,4.4
TX-1175,2026-08-08,Saturday,Pollo Entero kg,Carnes/Frescos,WhatsApp,4,9.8,39.2,27.6,11.6
TX-1176,2026-08-08,Saturday,Galletas Soda Field,Snacks,Tienda Física,5,2.5,12.5,7.0,5.5
TX-1177,2026-08-08,Saturday,Inca Kola 1.5L,Bebidas,WhatsApp,1,7.5,7.5,4.8,2.7
TX-1178,2026-08-08,Saturday,Cerveza Cusqueña 6pack,Bebidas,Delivery / App,4,34.0,136.0,96.0,40.0
TX-1179,2026-08-08,Saturday,Pollo Entero kg,Carnes/Frescos,Tienda Física,1,9.8,9.8,6.9,2.9
TX-1180,2026-08-08,Saturday,Cerveza Cusqueña 6pack,Bebidas,Delivery / App,2,34.0,68.0,48.0,20.0
TX-1181,2026-08-08,Saturday,Detergente Opal 1kg,Limpieza,Tienda Física,2,12.0,24.0,16.4,7.6
TX-1182,2026-08-08,Saturday,Galletas Soda Field,Snacks,Tienda Física,5,2.5,12.5,7.0,5.5
TX-1183,2026-08-08,Saturday,Aceite Primor 1L,Abarrotes,WhatsApp,4,11.5,46.0,34.0,12.0
TX-1184,2026-08-08,Saturday,Aceite Primor 1L,Abarrotes,Yape / Plin,4,11.5,46.0,34.0,12.0
TX-1185,2026-08-08,Saturday,Detergente Opal 1kg,Limpieza,Tienda Física,5,12.0,60.0,41.0,19.0
TX-1186,2026-08-08,Saturday,Arroz Costeño 5kg,Abarrotes,Yape / Plin,2,24.5,49.0,36.0,13.0
TX-1187,2026-08-08,Saturday,Aceite Primor 1L,Abarrotes,Tienda Física,5,11.5,57.5,42.5,15.0
TX-1188,2026-08-09,Sunday,Leche Gloria 400g,Lácteos,Tienda Física,5,4.2,21.0,15.5,5.5
TX-1189,2026-08-09,Sunday,Inca Kola 1.5L,Bebidas,Delivery / App,1,7.5,7.5,4.8,2.7
TX-1190,2026-08-09,Sunday,Arroz Costeño 5kg,Abarrotes,Yape / Plin,5,24.5,122.5,90.0,32.5
TX-1191,2026-08-09,Sunday,Detergente Opal 1kg,Limpieza,Tienda Física,4,12.0,48.0,32.8,15.2
TX-1192,2026-08-09,Sunday,Cerveza Cusqueña 6pack,Bebidas,WhatsApp,4,34.0,136.0,96.0,40.0
TX-1193,2026-08-09,Sunday,Leche Gloria 400g,Lácteos,Delivery / App,2,4.2,8.4,6.2,2.2
TX-1194,2026-08-09,Sunday,Galletas Soda Field,Snacks,Tienda Física,3,2.5,7.5,4.2,3.3
TX-1195,2026-08-09,Sunday,Aceite Primor 1L,Abarrotes,WhatsApp,4,11.5,46.0,34.0,12.0
TX-1196,2026-08-09,Sunday,Inca Kola 1.5L,Bebidas,Yape / Plin,4,7.5,30.0,19.2,10.8
TX-1197,2026-08-09,Sunday,Galletas Soda Field,Snacks,WhatsApp,1,2.5,2.5,1.4,1.1
TX-1198,2026-08-09,Sunday,Leche Gloria 400g,Lácteos,Tienda Física,5,4.2,21.0,15.5,5.5
TX-1199,2026-08-09,Sunday,Arroz Costeño 5kg,Abarrotes,Tienda Física,4,24.5,98.0,72.0,26.0
TX-1200,2026-08-09,Sunday,Pollo Entero kg,Carnes/Frescos,Tienda Física,1,9.8,9.8,6.9,2.9
TX-1201,2026-08-09,Sunday,Detergente Opal 1kg,Limpieza,Tienda Física,2,12.0,24.0,16.4,7.6
TX-1202,2026-08-09,Sunday,Pollo Entero kg,Carnes/Frescos,Tienda Física,5,9.8,49.0,34.5,14.5
TX-1203,2026-08-09,Sunday,Cerveza Cusqueña 6pack,Bebidas,Delivery / App,5,34.0,170.0,120.0,50.0
TX-1204,2026-08-09,Sunday,Cerveza Cusqueña 6pack,Bebidas,WhatsApp,4,34.0,136.0,96.0,40.0
TX-1205,2026-08-09,Sunday,Inca Kola 1.5L,Bebidas,Tienda Física,1,7.5,7.5,4.8,2.7
TX-1206,2026-08-09,Sunday,Arroz Costeño 5kg,Abarrotes,WhatsApp,1,24.5,24.5,18.0,6.5
TX-1207,2026-08-09,Sunday,Galletas Soda Field,Snacks,WhatsApp,1,2.5,2.5,1.4,1.1
TX-1208,2026-08-09,Sunday,Detergente Opal 1kg,Limpieza,Delivery / App,3,12.0,36.0,24.6,11.4
TX-1209,2026-08-09,Sunday,Arroz Costeño 5kg,Abarrotes,Tienda Física,3,24.5,73.5,54.0,19.5
TX-1210,2026-08-09,Sunday,Pollo Entero kg,Carnes/Frescos,Tienda Física,4,9.8,39.2,27.6,11.6
TX-1211,2026-08-09,Sunday,Cerveza Cusqueña 6pack,Bebidas,Tienda Física,2,34.0,68.0,48.0,20.0
TX-1212,2026-08-09,Sunday,Aceite Primor 1L,Abarrotes,Tienda Física,2,11.5,23.0,17.0,6.0
TX-1213,2026-08-09,Sunday,Inca Kola 1.5L,Bebidas,Tienda Física,4,7.5,30.0,19.2,10.8
TX-1214,2026-08-09,Sunday,Inca Kola 1.5L,Bebidas,WhatsApp,3,7.5,22.5,14.4,8.1
TX-1215,2026-08-10,Monday,Arroz Costeño 5kg,Abarrotes,Tienda Física,1,24.5,24.5,18.0,6.5
TX-1216,2026-08-10,Monday,Cerveza Cusqueña 6pack,Bebidas,Tienda Física,4,34.0,136.0,96.0,40.0
TX-1217,2026-08-10,Monday,Cerveza Cusqueña 6pack,Bebidas,Yape / Plin,3,34.0,102.0,72.0,30.0
TX-1218,2026-08-10,Monday,Aceite Primor 1L,Abarrotes,WhatsApp,3,11.5,34.5,25.5,9.0
TX-1219,2026-08-10,Monday,Galletas Soda Field,Snacks,Tienda Física,1,2.5,2.5,1.4,1.1
TX-1220,2026-08-10,Monday,Pollo Entero kg,Carnes/Frescos,WhatsApp,2,9.8,19.6,13.8,5.8
TX-1221,2026-08-10,Monday,Cerveza Cusqueña 6pack,Bebidas,Yape / Plin,1,34.0,34.0,24.0,10.0
TX-1222,2026-08-10,Monday,Aceite Primor 1L,Abarrotes,Tienda Física,1,11.5,11.5,8.5,3.0
TX-1223,2026-08-10,Monday,Aceite Primor 1L,Abarrotes,Delivery / App,1,11.5,11.5,8.5,3.0
TX-1224,2026-08-10,Monday,Leche Gloria 400g,Lácteos,Yape / Plin,1,4.2,4.2,3.1,1.1
